iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CMR,Cameroon,MtCO2e,131.93,143.84,143.26,139.67,191.62,191.29,192.72,193.71,197.88,196.46,198.47,172.39,172.45,175.72,172.25,174.76,172.12,173.67,174.47,174.63,175.01,158.75,159.01,161.66,163.25,165.45,167.81,167.25,168.71
SDN,Sudan,MtCO2e,96.86,97.16,100.54,101.17,107.34,108.48,112.97,121.59,127.92,132.67,133.52,123.35,129.95,132.67,136.55,143.18,144.66,151.26,152.49,154.73,153.6,155.16,156.74,157.64,159.43,165.42,169.75,169.51,170.55
OMN,Oman,MtCO2e,32.1,40.05,39.08,40.73,43.66,49.72,51.15,53.06,51.76,57.14,64.55,71.22,74.81,78.34,77.17,76.96,93.41,99.36,98.03,103.28,111.1,125.02,140.13,146.51,153.47,161.62,167.07,165.78,174.66
MOZ,Mozambique,MtCO2e,133.88,133.97,134.79,135.7,135.8,136.12,120.93,118.8,121.82,120.65,118.66,137.39,137.75,143.33,142.36,147.32,146.24,147.67,152.96,147.6,156.56,143.03,148.18,150.21,150.39,149.45,169.4,167.69,170.69
ECU,Ecuador,MtCO2e,126.08,127.12,130.76,132.53,137.64,142.22,149.42,152.26,150.07,144.37,144.17,135.46,134.97,136.67,142.6,146.38,150.79,150.88,153.66,159.88,166.23,143.26,143.12,148.82,152.63,150.56,166.15,163.53,166.5
MAR,Morocco,MtCO2e,48.5,51.45,54.3,54.69,59.94,61.72,62.08,65.41,67.04,70.78,72.53,80.22,82.94,82.7,91.08,96.64,100,102.09,106.88,107.06,113.45,128.74,132.7,132.71,135,138.84,136.55,143.55,146.2
PRY,Paraguay,MtCO2e,119.39,116.33,116.07,116.6,117.08,119.49,119.26,120.81,121.1,124.21,118.82,149.33,149.87,151.69,149.5,150.65,150.98,154.27,152.67,154.95,157.93,183.04,184.22,185.95,188.08,189.21,146.7,150.26,148.85
ISR,Israel,MtCO2e,77.86,79.65,84.78,92.5,98.7,105.96,111.04,116.31,118.2,121.89,130.79,131.62,136.72,139.38,140.71,137.2,144.79,150.21,150.99,149.48,159.73,158.75,171.52,153.96,149.82,153.53,152.48,154.71,146.59
BLR,Belarus,MtCO2e,215.71,206.86,183.49,159.17,134.48,119.98,121.81,123.02,119.54,115.8,111.33,124.46,123.94,125.62,132.38,133.87,139.33,136.5,143.25,137.17,146.05,157.35,160.38,161.14,159.92,150.88,140.1,142.49,148.33
TCD,Chad,MtCO2e,32.3,38.73,39.6,40.53,41.56,42.57,46.03,47.76,52.33,54.17,54.47,67.71,71.96,76.46,79.66,83.05,84.47,86.91,87.42,87.47,91.01,111.65,115.3,117.26,119.71,124.39,124.55,126.37,130.82
PRK,North Korea,MtCO2e,287.02,272.99,245.27,227.45,208.42,194.02,172.54,165.86,153.85,163.72,172.16,168.34,162.61,165.85,169.96,176.66,180.11,153.92,169.27,135.2,128.8,103.15,105.85,84.25,91.86,79.23,85.81,138.92,131.11
ZMB,Zambia,MtCO2e,82.53,83.04,83.16,82.38,81.29,81.06,68.59,69.59,70.72,68.7,65.37,73.49,77.02,83.64,84.34,87.38,82.03,84.76,87.81,84.14,91.29,121.18,125.88,127.29,128.35,134.73,133.63,135.42,135.23
GRC,Greece,MtCO2e,168.84,169.1,173.54,173.81,178.08,185.61,186.62,188.71,196.27,197.44,210.3,212.67,212.93,219.77,219.45,223.58,220.79,228.3,219.98,207.75,193.71,192.58,183.67,168.4,162.38,159.1,156.66,156.21,151.7
KHM,Cambodia,MtCO2e,30.69,30.43,31.01,31.86,30.67,33.41,29.29,30.73,34.49,34.11,32.5,33.13,35.8,38.51,39.41,37.61,41.78,43.44,43.55,45.82,45.06,170.95,169.28,169.43,171.15,174.9,107.84,111.79,112.17
MNG,Mongolia,MtCO2e,90.68,94.71,90.58,88.37,85.03,85.94,83.8,85.87,85.58,85.79,87.36,83.89,82.73,82.23,82.38,86.66,90.97,94.36,94.53,96.31,94.25,97.58,102.39,106.16,108.45,109.07,111.91,116.07,119.91
LBY,Libya,MtCO2e,108.73,113.21,102.23,114.19,136.42,149.35,154.13,143.3,142.62,141.88,147.41,143.39,143.9,155.96,158.8,172.49,174.71,167.1,175.58,176.08,185.79,111.56,182.86,167.89,151.68,134.12,128.51,152.31,163.41
ROU,Romania,MtCO2e,397.35,329.25,293.08,273.82,267.24,278.52,285.51,263.42,233.35,203.03,211.06,215.48,211.1,220.4,215.94,214.7,222.86,217.99,214.67,184.2,178.24,-375.56,-380.07,-399.07,-400.29,-396.23,125,130.62,132.8
AUT,Austria,MtCO2e,108.31,116.73,106.16,106.22,106.78,112.16,119.59,117.94,118.36,114.93,115.64,138.95,141.91,151.94,154.17,154.65,150.31,144.5,143.74,130.24,141.57,136.26,129.65,130.91,123.45,125.93,126.62,130.71,124.86
FIN,Finland,MtCO2e,73.2,73.66,67.7,70.13,83.24,75.46,88.42,84.62,77.78,76.91,74.83,117.4,122.27,138.96,131.47,107.03,130.28,126.44,109.87,104.07,120.64,25.97,14.73,16.3,8.3,1.48,129.67,124.4,127.74
SRB,Serbia,MtCO2e,138.55,118.38,109.66,98.27,90.98,103.23,118.21,127.73,127.52,93.55,98.78,37.99,44.94,51.41,61.03,46.52,51.05,48.45,44.56,39.15,38.92,112.87,102.58,103.98,88.5,101.25,109.44,110.53,107.68
SGP,Singapore,MtCO2e,59.76,64.41,67.98,79.19,84.53,85.44,87.77,87.51,85.73,87.71,96.87,96.71,95.22,88.94,91.86,86.42,87.12,89.51,89.95,90.92,98.26,103.66,102.18,103.3,104.96,107.71,107.69,113.13,109.61
HUN,Hungary,MtCO2e,159.99,152.08,135.64,136.49,135.62,133.59,136.83,133.67,133.94,135.29,129.04,134.35,132.02,137.32,134.25,133.14,131.96,128.17,125.96,114.94,114.95,111.37,104.02,98.99,99.15,104.84,107.58,117.8,117.12
IRL,Ireland,MtCO2e,103.33,104.37,104.58,105.37,107.96,109.34,112,114.46,120.19,123.4,129.1,134.29,131.97,132.99,132.75,135.95,137.14,134.95,133.14,122.37,120.89,112.83,114.79,112.61,112.77,116.13,119.84,117.71,115.13
BWA,Botswana,MtCO2e,97.69,97.03,97.83,97.43,97.5,98.51,99.81,99.51,99.85,100.01,99.88,101.53,102.04,94.81,95.5,97.22,98.83,97.33,106.13,96.85,106.47,111.84,98.66,101.61,101.89,101.22,99.81,104.29,103.6
PRT,Portugal,MtCO2e,100.17,103.6,111.65,109.57,112.99,120.14,116.61,121.12,130.98,144.29,143.27,140.52,149.38,139.75,143.1,149.64,139.47,136.42,132.21,130.88,120.12,115.37,112.03,108.68,107.64,115.67,115.73,125.26,116.6
NZL,New Zealand,MtCO2e,44.21,44.19,46.78,45.55,47.28,48.7,50.18,54.97,52.79,56.47,57.49,68.5,69.59,73.96,72.78,75.58,75.75,73.64,74.5,68.63,68.65,79.59,83.87,83.27,83.98,83.67,93.39,96.75,95.62
SLB,Solomon Islands,MtCO2e,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.6,4.18,4.22,4.25,4.29,4.32,4.35,4.38,4.41,4.44,4.47,-34.53,-34.51,-34.43,-34.51,-34.56,91.92,91.94,91.98
PNG,Papua New Guinea,MtCO2e,52.79,53.8,54.85,55.95,56.67,61.65,61.21,76.01,63.05,64.91,67.25,67.16,68.38,68.65,70.46,68.47,68.27,68.42,67.51,67.81,67.78,83.07,83.45,84.91,87,90.31,90.86,90.85,92.68
